first_word,second_word,third_word
United,States,
Sub-Saharan,Africa,
Central,Banks,
Latin,America,
Monetary,Union,
Euro,Area,
Russian,Federation,
United,Kingdom,
Middle,East,
European,Union,
Macroprudential,Policy,
South,Africa,
Hong,Kong,
Eastern,Europe,
Czech,Republic,
North,Africa,
Dominican,Republic,
Western,Hemisphere,
Central,African,
Special,Administrative,Region
Arab,States,
West,African,
New,Zealand,
Central,Asia,
Central,America,
Saudi,Arabia,
Slovak,Republic,
Sierra,Leone,
Islamic,Republic,
Pacific,Island,
Sri,Lanka,
Burkina,Faso,
United,Arab,
Arab,Emirates,
Costa,Rica,
Eastern,Caribbean,
Currency,Union,
Saint,Vincent,
Kyrgyz,Republic,
El,Salvador,
The,Barbados,
International,Monetary,Fund
Equatorial,Guinea,
The,Ghana,
Saint,Kitts,Nevis
Saint,Lucia,
Southeast,Asian,Nations
